Sample,Dice,IoU,Accuracy,Sensitivity,Specificity,clDice
1,0.9111549258232117,0.8368086218833923,0.9819629192352295,0.8544749021530151,0.9974374771118164,0.9407787478916191
2,0.8934599161148071,0.8074356317520142,0.9723827838897705,0.8676373958587646,0.988516092300415,0.8825971173006254
3,0.9251617789268494,0.8607451319694519,0.9880273342132568,0.8998931050300598,0.9959245920181274,0.9460714468634702
4,0.9177448153495789,0.8479929566383362,0.9814355373382568,0.8741345405578613,0.995856761932373,0.9390827698813777
5,0.9290673136711121,0.8675310611724854,0.9857324361801147,0.9148102402687073,0.9938004016876221,0.9481078742955905
6,0.9022373557090759,0.8218874931335449,0.9834863543510437,0.862114667892456,0.995254397392273,0.9121677318475662
7,0.8617013096809387,0.7570080757141113,0.965039074420929,0.8095376491546631,0.9892127513885498,0.8502591712358406
8,0.9170280694961548,0.8467698693275452,0.9831836223602295,0.8698354959487915,0.996741771697998,0.9452963554685808
9,0.8585648536682129,0.7521800994873047,0.9847363233566284,0.806939959526062,0.9955657124519348,0.8647982854323985
10,0.925970733165741,0.8621466755867004,0.9868554472923279,0.8993589878082275,0.9956578016281128,0.9333229440293543
11,0.9276294112205505,0.8650269508361816,0.9870312213897705,0.903023898601532,0.9955471754074097,0.9475575438250547
12,0.9284919500350952,0.8665282130241394,0.9843066334724426,0.9038378000259399,0.9945298433303833,0.9526199806305283
13,0.8444358110427856,0.7307563424110413,0.9686425924301147,0.7595432996749878,0.9950289130210876,0.8292910934312073
14,0.8581472039222717,0.7515392303466797,0.9688671827316284,0.8829777240753174,0.9791209101676941,0.8705012271288882
15,0.9139729142189026,0.8415746688842773,0.98388671875,0.899527907371521,0.9927581548690796,0.9335860785645059
16,0.8301041126251221,0.7095538377761841,0.9666894674301147,0.867659330368042,0.9769386649131775,0.8641774243914722
17,0.8697473406791687,0.769515872001648,0.9714550971984863,0.8792684078216553,0.9826617240905762,0.8751039866904281
18,0.8536378741264343,0.744649350643158,0.9747167825698853,0.7546226978302002,0.9985496997833252,0.888942118655175
19,0.8981101512908936,0.8150634765625,0.970410168170929,0.8853676319122314,0.985100269317627,0.918425268933493
20,0.8819273710250854,0.7887925505638123,0.9676464796066284,0.8449771404266357,0.9881148934364319,0.8955936963695303
21,0.8299158215522766,0.7092787623405457,0.971972644329071,0.7228990197181702,0.9979938268661499,0.8590606353158275
22,0.8202009797096252,0.695203959941864,0.966796875,0.7201225757598877,0.9957874417304993,0.8171988386234207
23,0.925639271736145,0.8615720868110657,0.9863964915275574,0.8904179930686951,0.9964818954467773,0.9450662027805316
24,0.8980366587638855,0.8149424195289612,0.9847851395606995,0.848084032535553,0.9965115189552307,0.9126028511395674
25,0.9225690960884094,0.856267511844635,0.9864843487739563,0.8988335132598877,0.9951087236404419,0.9415754061772236
26,0.9256225824356079,0.8615431785583496,0.9867870807647705,0.8922212719917297,0.9963856935501099,0.9531509663608034
27,0.9172122478485107,0.847084105014801,0.9867870807647705,0.8898254632949829,0.9954776167869568,0.9371508323293112
28,0.9268971085548401,0.863754153251648,0.985107421875,0.893860936164856,0.995883584022522,0.9412231854105669
29,0.8750466108322144,0.7778514623641968,0.973828136920929,0.809873104095459,0.9947474598884583,0.8814895817240483
30,0.8772135376930237,0.7812826633453369,0.9693261981010437,0.8488425016403198,0.9871835112571716,0.8929503393953915
31,0.9089449048042297,0.8330880403518677,0.9833886623382568,0.8616665005683899,0.9963477849960327,0.9172994675314315
32,0.9280835390090942,0.8658170104026794,0.9838573932647705,0.8828739523887634,0.99736487865448,0.9394173232828501
33,0.8725209832191467,0.7738689184188843,0.9747655987739563,0.8608001470565796,0.9874737858772278,0.8763028982415747
34,0.9197795391082764,0.8514739274978638,0.9859277606010437,0.8838129639625549,0.9961849451065063,0.9387414710417755
35,0.8350841403007507,0.7168622016906738,0.9587597846984863,0.7931162118911743,0.9838729500770569,0.8466001340329641
36,0.8757222890853882,0.7789199352264404,0.9693359136581421,0.8561367988586426,0.9856836199760437,0.8868760005681883
37,0.9177305102348328,0.8479685187339783,0.9864062666893005,0.8820722699165344,0.9962178468704224,0.9413487279867725
38,0.8388841152191162,0.7224810123443604,0.9668359160423279,0.8041658997535706,0.9864013195037842,0.8522960665767844
39,0.8728313446044922,0.7743573188781738,0.9791699051856995,0.8410893082618713,0.9919954538345337,0.8987960649484511
40,0.9136325716972351,0.8409976959228516,0.9808886647224426,0.8621522784233093,0.9966591000556946,0.9388101759839296
41,0.7644230723381042,0.618677020072937,0.9406640529632568,0.8245232701301575,0.9560169577598572,0.8203503224641391
42,0.9073972105979919,0.8304913640022278,0.983593761920929,0.8617043495178223,0.9961334466934204,0.9371806211599683
43,0.8584977984428406,0.7520772218704224,0.9676562547683716,0.8071824312210083,0.9898613691329956,0.8460233109339547
